;UG;LOC;DA;TTAEF;TTAEM;TTREF;TTREM;TTABEF;TTABEM
168;Roraima;Rural;Estadual;98,4;96,5;0,7;1,6;0,9;1,9
169;Roraima;Total;Municipal;98,8;;0,5;;0,7;
170;Roraima;Urbana;Municipal;98,5;;0,6;;0,9;
171;Roraima;Rural;Municipal;99,8;;0,0;;0,2;
172;Roraima;Total;Privada;99,4;99,5;0,2;0,3;0,4;0,2
173;Roraima;Urbana;Privada;99,4;99,5;0,2;0,3;0,4;0,2
174;Roraima;Rural;Privada;;100,0;;0,0;;0,0
175;Roraima;Total;Pública;98,8;98,3;0,5;0,8;0,7;0,9
176;Roraima;Urbana;Pública;98,8;99,1;0,5;0,3;0,7;0,6
177;Roraima;Rural;Pública;98,9;95,9;0,4;2,4;0,7;1,7
178;Pará;Total;Total;97,7;99,2;0,6;0,1;1,7;0,7
179;Pará;Urbana;Total;97,8;99,2;0,5;0,1;1,7;0,7
180;Pará;Rural;Total;97,6;99,4;0,7;0,2;1,7;0,4
181;Pará;Total;Federal;99,9;94,8;0,1;4,3;0,0;0,9
182;Pará;Urbana;Federal;99,9;95,5;0,1;3,7;0,0;0,8
183;Pará;Rural;Federal;;71,2;;26,0;;2,8
184;Pará;Total;Estadual;99,8;99,4;0,0;0,0;0,2;0,6
185;Pará;Urbana;Estadual;99,8;99,4;0,0;0,0;0,2;0,6
186;Pará;Rural;Estadual;99,9;99,6;0,0;0,0;0,1;0,4
187;Pará;Total;Municipal;97,7;97,6;0,7;0,0;1,6;2,4
188;Pará;Urbana;Municipal;97,9;97,6;0,6;0,0;1,5;2,4
189;Pará;Rural;Municipal;97,5;;0,7;;1,8;
190;Pará;Total;Privada;95,0;97,9;0,7;0,6;4,3;1,5
191;Pará;Urbana;Privada;95,0;98,0;0,6;0,6;4,4;1,4
192;Pará;Rural;Privada;93,2;91,6;4,8;2,2;2,0;6,2
193;Pará;Total;Pública;98,0;99,4;0,6;0,1;1,4;0,5
194;Pará;Urbana;Pública;98,3;99,3;0,5;0,1;1,2;0,6
195;Pará;Rural;Pública;97,6;99,5;0,7;0,1;1,7;0,4
196;Amapá;Total;Total;96,3;90,7;2,3;6,9;1,4;2,4
197;Amapá;Urbana;Total;96,2;90,0;2,5;7,7;1,3;2,3
198;Amapá;Rural;Total;97,0;94,9;1,3;1,6;1,7;3,5
199;Amapá;Total;Federal;;88,7;;10,1;;1,2
200;Amapá;Urbana;Federal;;88,7;;10,1;;1,2
201;Amapá;Total;Estadual;95,2;89,9;3,5;7,4;1,3;2,7
202;Amapá;Urbana;Estadual;94,5;89,1;4,0;8,4;1,5;2,5
203;Amapá;Rural;Estadual;97,3;94,8;1,7;1,7;1,0;3,5
204;Amapá;Total;Municipal;97,7;;0,9;;1,4;
205;Amapá;Urbana;Municipal;98,0;;1,0;;1,0;
206;Amapá;Rural;Municipal;96,5;;0,6;;2,9;
207;Amapá;Total;Privada;97,3;98,9;0,7;0,5;2,0;0,6
208;Amapá;Urbana;Privada;97,3;99,1;0,7;0,5;2,0;0,4
209;Amapá;Rural;Privada;93,5;97,0;0,0;0,0;6,5;3,0
210;Amapá;Total;Pública;96,2;89,9;2,4;7,5;1,4;2,6
211;Amapá;Urbana;Pública;96,0;89,1;2,7;8,4;1,3;2,5
212;Amapá;Rural;Pública;97,0;94,8;1,3;1,7;1,7;3,5
213;Tocantins;Total;Total;97,8;93,2;1,1;2,7;1,1;4,1
214;Tocantins;Urbana;Total;97,9;93,3;1,1;2,5;1,0;4,2
215;Tocantins;Rural;Total;97,1;92,5;1,4;4,4;1,5;3,1
216;Tocantins;Total;Federal;;80,0;;18,2;;1,8
217;Tocantins;Urbana;Federal;;79,1;;18,7;;2,2
218;Tocantins;Rural;Federal;;82,2;;16,8;;1,0
219;Tocantins;Total;Estadual;95,9;93,5;1,6;2,0;2,5;4,5
220;Tocantins;Urbana;Estadual;96,0;93,5;1,6;2,0;2,4;4,5
221;Tocantins;Rural;Estadual;95,1;94,1;1,7;2,2;3,2;3,7
222;Tocantins;Total;Municipal;98,8;;0,8;;0,4;
223;Tocantins;Urbana;Municipal;98,9;;0,7;;0,4;
224;Tocantins;Rural;Municipal;97,9;;1,2;;0,9;
225;Tocantins;Total;Privada;98,7;99,3;0,7;0,5;0,6;0,2
226;Tocantins;Urbana;Privada;98,7;99,3;0,7;0,5;0,6;0,2
227;Tocantins;Rural;Privada;98,7;99,2;1,3;0,8;0,0;0,0
228;Tocantins;Total;Pública;97,7;92,9;1,1;2,8;1,2;4,3
229;Tocantins;Urbana;Pública;97,8;92,9;1,1;2,6;1,1;4,5
230;Tocantins;Rural;Pública;97,1;92,2;1,4;4,6;1,5;3,2
231;Maranhão;Total;Total;96,8;92,3;0,9;2,4;2,3;5,3
232;Maranhão;Urbana;Total;96,6;92,5;0,9;2,4;2,5;5,1
233;Maranhão;Rural;Total;97,1;90,8;1,0;2,3;1,9;6,9
234;Maranhão;Total;Federal;98,4;81,6;0,7;15,6;0,9;2,8
